text,Nama perusahan/produk,sumber ,Kategori,Legalitas,,,
"Robot trading forex otomatis dengan hasil trade minimal 1%/hari Mengapa harus ambil peluang ini? Profit konsisten 1-1,6%/hari Robot canggih anti MC Tidak Ada titip dana ke org Dana dikelola sendiri di broker 100% otomatis robot yg bekerja Ada sharing profit harian utk upline  Tugas kita Hanya mindahin profit ke rekening Modal bisa ditarik kapan aja Marketing plan menarik utk networker Tidak perlu bs trading Tidak perlu Pake laptop Tidak perlu cape liat monitor Pake HP aja sudah bisa jalan Minimal 9jt sudah bs mulai Berapa harga paket robot? Bot $100 trading max $500 Bot $500 trading max $2500 Bot $1000 trading max $5000 Bot $ 5000 trading max $25.000 Bot $10.000 trading max $50.000 Bot ini Hanya Sekali bayar utk life time. Tapi ada sharing profit ke company setiap Hari dr profit bersih.. So far bot ini bagus Cara kerjanya, profit terus tanpa loss, konsisten dan aman.. Caranya simple, cukup daftar, deposit di broker, beli robot, profit, withdraw saja",SmartXBot,https://www.lazada.co.id/products/software-trading-smartxbot-ebook-net89-i4782348310.html,Trading Robot,ilegal,,,14
"Net89 adalah Software Trading forex otomatis buatan PT SIMBIOTIK MULTITALENTA INDONESIA yang sangat cocok buat Pegawai, Ibu rumah tangga, Pelajar, Bisnisman, dan Investor yang ingin dapat pasif income secara konsisten tanpa khawatir resiko besar dan tanpa diperlukannya pengetahuan akan analisis teknikal maupun fundamental. EA (Expert Advisor) Forex Net89 dilengkapi dengan logic anti-margin call terbaik saat ini sehingga tidak memungkinkan modal investor akan habis, kemudian TP/SL yang sangat dinamis, serta akurasi entry yang sangat akurat.
Terbukti Dari Sejak 2018 NET89 Sudah Memberikan Hasil Konsisten Minimal 1%/Hari Kepada Lebih Dari 60.000 Member Aktif Dengan EQUITY Diatas 100 Milyar Lebih Dengan Robot NET89. (Performance Robot Terlampir Di Foto)
NET89 Juga Merupakan Robot Pertama Di Indonesia Yang Bisa Menerapkan Sistem Management Resiko Canggih Sehingga Tingkat Lose Per Hari Maksimal Hanya 5% Yang Artinya Butuh 20 Hari Berturut-Turut Anda Terkena MARGIN CALL Yang Menjadi Momok Besar Buat Para Pemain Trader. Inilah SISTEM ANTI MARGIN CALL TERBAIK SAAT INI.

Spesifikasi :
- (NET89) Robot Trading Forex Otomatis
- Profit Konsisten : 1% / Hari atau 10 – 20% / Bulan.
- Untuk Paket 9jt ini = Estimasi Profit : Rp 32.000 / Hari atau Rp 650.000 / Bulan.
- Paket 9jt = Robot 1,5jt & Modal Trading 7,5jt
- 2 - 3 BULAN BALIK MODAL ROBOT.
- Terbukti Profit sejak 2018 sampai sekarang.
- Anti Margin Call
- Dana dikelola sendiri pada broker yang kita pilih.
- 100% Otomatis Robot yang bekerja
- Tidak diperlukan kemampuan analisis Tekinikal & Fundamental, cukup melihat hasilnya saja.
- Modal dan profit dapat ditarik kapan saja.
- Kebebasan Waktu tanpa harus terikat dengan trading
- Legalitas terjamin (Surat surat ada di website resmi PT. SMI)
- Terdapat “Network Income” yang menarik.
- Terdapat “Bonus Pembelian Robot” dan “Bonus Peringkat”",Net89,https://www.tokopedia.com/dgtoys/net89-bot-trading-forex-ea-net-89-smartxbot-pt-smi-investasi-aman?extParam=ivf%3Dfalse%26src%3Dsearch,Trading Robot,ilegal,,,17
"Jika anda bing mencari strategi yang cocok untuk trading binary maka inilah jawaban strategi yg bisa anda akan untuk mendapatkan profit yang konsisten.  trading dengan memakai panduan TREND INDIKATOR akan membuat setiap transaksi anda di binary akan memiliki probaility diatas 90 persen.  Quotex adalah platform inovatif dengan tingkat pengembalian hingga 98% di setiap investasinya! Daftar akun demo untuk berlatih dengan 0.000. Dengan deposit minimum hanya 0, inilah pilihan yang hebat!",Quotex,https://id-quotex.com/,Scam Binary Options/Futures Trading,ilegal,,,
Raibotlook merupakan system trading yg menggunakan software. dimana menggunakan broker *BDSWISS* dan *VANTAGE*. dan sudah system yg bekerja. untuk profit per day estimasi 1%-2%,Raibot look,https://www.facebook.com/Raibotlook-1172395436251852/?ref=py_c&__xts__[%2Ffacebook],Trading Robot,ilegal,,,
"Software Auto Trading terbaik untuk memudahkan anda menghasilkan estimasi profit 1% sehari & estimasi profit 5% seminggu
1. Profit 20-25%/bulan
2. Live Trading No Delay
3. WD unlimited & every time, robot tidak hangus
4. Profit sharing kompetitif
5. Fee bot terjangkau
Trading terbaik Auto Pilot. Menghasilkan Profit 1% Sampai 10%,Secara Konsisten.Bersama Robot"" Profesional. Cuan Cuan Cuan.yang mau join
#ProfitKonsisten #HasilkanUangTambahan #UangSakuTambahan #Dnapro #Digitalnettasset #DnaproAutopilot
#ManfaatRobotAutopilot #ManfaatRobotDnaProAutopilot #BelajarRobotaAtopilot #BelajarRobotDnaProAutopilot",DNA Pro,,Trading Robot,ilegal,,,
"Team pantau news/berita dan pergerakan pasar 24 jam. Cut loss maksimal 10 %. Salinan Instan Transaksi di FIN888 langsung disalin ke akun klien. Setelah terdaftar, klien tinggal pantau akun dan menikmati profit.  Drawdown Maksimum 1% Drawdown maksimum adalah 1%, untuk memastikan akun klien terlindungi sepenuhnya dan terus menghasilkan keuntungan.  Tanpa Biaya Bulanan Pendaftaran gratis dan tanpa biaya bulanan. Sistem bagi hasil hingga 75% keuntungan untuk klien. Tidak ada biaya tersembunyi. STP / ECN artinya Trader ga ada kepentingan bila kita Loss. Fair Profit Sharing untuk trader = 12%  Estimasi Profit 8-10% perbulan dalam 1 tahun.  Dana investor langsung dikirim ke custodian.  Dapatkan Jaminan asuransi sesuai dengan deposit anda.  Dapatkan penghasilan tambahan profit sharing dari downline anda",FIN888,https://www.lpteams.com/fin888/,"Trading Robot, Ponzi",ilegal,,,
"ROBOT AUTO TRADE GOLD 4.0
Trading fully automatic target profit 05-3% setiap harinya

Tersedia 2 skema :
1. No Profit sharing
2. Free Robot (Gratis)

1. No Profit Sharing :
Beli paket robot trading dan profit 100% milik kamu, berikut untuk paket robot ATG4.0:
Level 1, $100 max balance $500
Level 2. $200 max balance $5,000
Level 3. $500 max balance $30,000
Level 4. $2,500 max balance $1,000,000
Level 5. $3,500 max balance $100,000,000.

https://pantheratrade.com/register/?r=IB30563924


2. Free Robot :
Untuk paket free robot dikenakan profit sharing mulai dari 0% sampai max 25%, untuk detailnya sebagai berikut :
Bulan 1 profit sharing 100% untuk investor dan 0% untuk admin (100:0)
Bulan 2 profit sharing 90% untuk investor dan 10% untuk admin (90:10)
Bulan 3 profit sharing 85% untuk investor dan 15% untuk admin (85:15)
Bulan 4 profit sharing 80% untuk investor dan 20% untuk admin (80:20)
Bulan 5 dst.., profit sharing 75% untuk investor dan 25% untuk admin (75:25)
perpaket 150rb

kontak wa:
http://wa.me/62811953296",Autotrade Gold,https://www.tokopedia.com/kameshop/robot-trading-autotrade-gold-4-0,Trading Robot,ilegal,,,
"Perusahaan yang menciptakan teknologi robot trading dengan
kombinasi kecerdasan buatan dan didukung oleh trader ahli yang
selalu mengawasi transaksi yang dilakukan oleh robot trading. Memungkinkan trader untuk bisa trading tanpa perlu
selalu memperhatikan market dan berita karena
Menggunakan teknologi robot yang selalu diawasi oleh
Expert Trader.  akan menghasilkan keuntungan secara_konsisten
dengan pengelolaan keuangan yang baik berdasarkan
ekuitas yang ada dan secara otomatis membuka dan
menutup pesanan setiap hari.",Fahrenheit,https://www.instagram.com/p/CUGN5XCBv-a/,Trading Robot,ilegal,,,
"Dapatkan potensi keuntungan tanpa harus memiliki keahlian dalam menganalisa markets.  Keamanan Dana
Keamanan dana terjamin bersama broker yang memiliki regulasi terkemuka.  Kendali Keuangan 100%
Kendali keuangan 100% di tangan anda. Bebas melakukan deposit dan penarikan langsung dari akun anda tanpa campur tangan kami.  Berupaya menjadikan seluruh mitra perusahaan bisa hidup mapan dan sejahtera.  Memberikan pengetahuan edukasi dan pelatihan yang terbaik untuk mitra Perusahaan.  1. Broker  Vantagefx, score bagus, berlisensi 4 negara.
2. Harga robot relatif murah, mulai dari $50
3. Profit OKE SEKALI (nett profit up to 30% per month)
4. Autocompound.
5. Bisa depo unlimited walau beli robot yang $50
6. Bisa WD semua modal, tidak ada limit penarikan.
7. Ada sistem marketing plan untuk aktif income 
8. Kurs Deposit dan WD kurs USD saat itu.
SUDAH TERUJI POTENSI PROFIT Sekitar 100% Dalam Waktu 50 Hari!!!",EA50/PT. SENTRA MEGAH INDOTEK,https://ea50idn.id/,Trading Robot,ilegal,,,
"Mencari Robot yg SABTU-MINGGU tetap kasih Cuan?
Mencari Robot yg proses WD tidak sampai 1jam?
Mencari Robot yg Cuan gede?
Mencari Robot yg GA RIBET??

Maka ini Solusinyaa bossque 
 *ROBOT MARK AI* 

Trading Senin s/d Minggu NONSTOP 7x24jam
Modal mulai dari Rp496.000
Depo WD rate Rp15.500/$
Profit 100% milik kita
Target Profit 35%++/Bulan
High Risk, High Return
Free Robot, dan di modalkan 10$ (langsung Claim di aplikasi, Daftar aja dulu bossque)

Banyak orang telah membuktikan Mark Ai sebagai solusi keuangan yang begitu sulit pada masa pandemi covid-19. Apakah anda hanya ingin berdiam diri menyaksikan mereka menghasilkan setiap harinya dengan tanpa mengeluarkan banyak pikiran, waktu dan tenaga❗
Segera bergabung dan buktikan hasilnya. Bukti kami telah ada pada anda, kini giliranmu melakukannya sendiri.",Mark.Ai,,Trading Robot,ilegal,,,
